NYSE,ARR,ARMOUR Residential REIT Inc.
NYSE,ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)
NYSE,ARW,Arrow Electronics Inc. Common Stock
NYSE,ASA,ASA  Gold and Precious Metals Limited
NYSE,ASAI,Sendas Distribuidora S A ADS
NYSE,ASAN,Asana Inc. Class A Common Stock
NYSE,ASAQ,Atlantic Street Acquisition Corp Class A Common Stock
NYSE,ASB,Associated Banc-Corp Common Stock
NYSE,ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E
NYSE,ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F
NYSE,ASC,Ardmore Shipping Corporation Common Stock
NYSE,ASG,Liberty All-Star Growth Fund Inc.
NYSE,ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest
NYSE,ASGN,ASGN Incorporated Common Stock
NYSE,ASH,Ashland Inc. Common Stock
NYSE,ASIX,AdvanSix Inc. Common Stock
NYSE,ASPN,Aspen Aerogels Inc. Common Stock
NYSE,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
NYSE,ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)
NYSE,ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares
NYSE,ATA,Americas Technology Acquisition Corp. Ordinary Shares
NYSE,ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares
NYSE,ATC,Atotech Limited Common Shares
NYSE,ATCO,Atlas Corp. Common Shares
NYSE,ATCO^D,Atlas Corp. 7.95% Series D
NYSE,ATCO^H,Atlas Corp. 7.875% Series H
NYSE,ATCO^I,Atlas Corp. Series I Fixed-to-Floating
NYSE,ATEK,Athena Technology Acquisition Corp. II Class A Common Stock
NYSE,ATEN,A10 Networks Inc. Common Stock
NYSE,ATGE,Adtalem Global Education Inc. Common Stock
NYSE,ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A
NYSE,ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share
NYSE,ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C
NYSE,ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D
NYSE,ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
NYSE,ATI,ATI Inc. Common Stock
NYSE,ATIP,ATI Physical Therapy Inc. Class A Common Stock
NYSE,ATKR,Atkore Inc. Common Stock
NYSE,ATO,Atmos Energy Corporation Common Stock
NYSE,ATR,AptarGroup Inc. Common Stock
NYSE,ATTO,Atento S.A. Ordinary Shares
NYSE,ATUS,Altice USA Inc. Class A Common Stock
NYSE,AU,AngloGold Ashanti Limited Common Stock
NYSE,AUD,Audacy Common Stock
NYSE,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares
NYSE,AUY,Yamana Gold Inc. Ordinary Shares (Canada)
NYSE,AVA,Avista Corporation Common Stock
NYSE,AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
NYSE,AVAN,Avanti Acquisition Corp. Class A Ordinary Shares
NYSE,AVB,AvalonBay Communities Inc. Common Stock
NYSE,AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
NYSE,AVK,Advent Convertible and Income Fund
NYSE,AVLR,Avalara Inc. Common Stock
NYSE,AVNS,Avanos Medical Inc. Common Stock
NYSE,AVNT,Avient Corporation Common Stock
NYSE,AVTR,Avantor Inc. Common Stock
NYSE,AVY,Avery Dennison Corporation Common Stock
NYSE,AVYA,Avaya Holdings Corp. Common Stock
NYSE,AWF,Alliancebernstein Global High Income Fund
NYSE,AWI,Armstrong World Industries Inc Common Stock
NYSE,AWK,American Water Works Company Inc. Common Stock
